molecule_chembl_id,canonical_smiles,standard_value
CHEMBL363084,CN(C)CCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,79900.0
CHEMBL427513,CN(C)CCCNC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,44500.0
CHEMBL182617,CN(C)CCCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,78100.0
CHEMBL183465,CN1CCN(C(=O)c2ccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)cc2)CC1,29300.0
CHEMBL185370,CN1CCN(C(=O)c2cccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)c2)CC1,31600.0
CHEMBL184279,N#CCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,94000.0
CHEMBL183965,O=C1Nc2c(Cl)ccc(OCCO)c2C2(CCCCC2)N1,73000.0
CHEMBL359890,CCOC(=O)c1ccc(COc2ccc(Cl)c3c2C2(CCCCC2)NC(=O)N3)o1,78000.0
CHEMBL183280,O=C(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,68000.0
CHEMBL361512,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(O)cc1,101000.0
CHEMBL183156,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(C(=O)O)cc1,30680.0
CHEMBL362719,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(F)cc1,101000.0
CHEMBL184837,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1c(O)cccc1C(=O)O,49420.0
CHEMBL363673,Cc1cccc(C(=O)O)c1/N=c1\sc(-c2ccc(Cl)cc2)nn1C,20540.0
CHEMBL182227,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C(=O)O)c1O,9830.0
CHEMBL184861,O=C1Nc2c(Cl)ccc(OCc3nn[nH]n3)c2C2(CCCCC2)N1,11800.0
CHEMBL182536,O=C1Nc2c(Cl)ccc(OCc3noc(O)n3)c2C2(CCCCC2)N1,21900.0
CHEMBL365447,O=C1Nc2c(Cl)ccc(OCc3ccc(C(=O)O)o3)c2C2(CCCCC2)N1,10800.0
CHEMBL360627,O=C1Nc2c(Cl)ccc(OCCCS(=O)(=O)O)c2C2(CCCCC2)N1,12700.0
CHEMBL182574,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(F)c(C(=O)O)c1,16980.0
CHEMBL184017,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(O)c(C(=O)O)c1,5580.0
CHEMBL185523,O=C1Nc2c(Cl)ccc(OCCN3CCOCC3)c2C2(CCCCC2)N1,101000.0
CHEMBL185275,NCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL184979,CNCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL184903,CN(C)CCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL185108,CN(C)CCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL185531,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccccc1O,101000.0
CHEMBL185532,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(O)c1,6130.0
CHEMBL185604,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C(=O)O)c1,7470.0
CHEMBL184701,NCCOCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL263311,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(-c2noc(O)n2)c1,1890.0
CHEMBL364200,CNCC(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL184013,CN(C)CC(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL363658,O=C(O)CNCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,101000.0
CHEMBL185203,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(-c2nn[nH]n2)c1,1710.0
CHEMBL360874,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(CC(=O)O)c1,8570.0
CHEMBL363709,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C#N)c1,47210.0
CHEMBL184960,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C(N)=O)c1,2650.0
CHEMBL365206,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(F)c1,101000.0
CHEMBL251785,COc1ccc(C2=Nn3c(nnc3-c3ccccc3OC)SC2)cc1OC,50000.0
CHEMBL255130,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC,10500.0
CHEMBL404723,CCOc1ccc(/C=C2\SC(=S)NC2=O)cc1OC1CCCC1,24990.0
CHEMBL255820,COc1cc(/C=C2\SC(=S)NC2=O)ccc1OC1CCCC1,28500.0
CHEMBL270634,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC1CCCC1,10830.0
CHEMBL270637,CCOc1ccc(/C=C2\SC(=S)NC2=O)cc1OCC,80000.0
CHEMBL270636,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1OC,39810.0
CHEMBL270635,CCOc1ccc(/C=C2\SC(=S)NC2=O)cc1OC,9460.0
CHEMBL305763,O=C1NC(=S)S/C1=C\c1ccccc1,
CHEMBL256184,COc1ccc(/C=C2\SC(=O)N(Cc3ccccc3)C2=O)cc1OC1CCCC1,
CHEMBL255423,COc1ccc(/C=C2\SC(=S)N(CC(=O)O)C2=O)cc1OC,
CHEMBL269795,C=CCN1C(=O)/C(=C/c2ccc(OC)c(OC)c2)SC1=S,
CHEMBL407291,CCN1C(=O)/C(=C/c2ccc(OC)c(OC)c2)SC1=S,
CHEMBL402962,COc1ccc(/C=C2\SC(=S)N(C)C2=O)cc1OC,
CHEMBL223330,O=C1NC(=S)S/C1=C\c1ccc2c(c1)OCO2,
CHEMBL402998,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OCc1ccccc1,
CHEMBL256425,COc1cc(/C=C2\SC(=S)NC2=O)cc(OC)c1OC,
CHEMBL255821,COc1cccc(/C=C2\SC(=S)NC2=O)c1OC,
CHEMBL255822,COc1cc(/C=C2\SC(=S)NC2=O)ccc1O,
CHEMBL1162970,COc1ccc(/C=C2\SC(=S)NC2=O)cc1O,
CHEMBL255556,O=C1NC(=S)S/C1=C\c1ccc(O)c(O)c1,
CHEMBL224521,COc1ccc(/C=C2\SC(=S)NC2=O)cc1,
CHEMBL402427,COc1cccc(/C=C2\SC(=S)NC2=O)c1,
CHEMBL270634,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC1CCCC1,10830.0
CHEMBL466280,CC(C)c1n[nH]c2c(=O)[nH]c(C[C@@H]3CCCC[C@H]3Nc3ncc(C(=O)O)c(C(F)(F)F)n3)nc12,1000.0
CHEMBL466068,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3ccccc3OCCN3CCOCC3)nc12,10000.0
CHEMBL466481,CC(C)c1n[nH]c2c(=O)[nH]c(C[C@@H]3CCCC[C@H]3Nc3ncccn3)nc12,10000.0
